name,type,varietal,world,country,region_1,region_2,bin,vintage,glass_price,bottle_price,,collection,staff_pick,stock,show,description
"Samuel Billaud Chablis Chardonnay",white,Chardonnay,Old World,France,Burgundy,Chablis,139,2022,,94,,,N,,Y,"A polished Chablis from a respected producer, offering citrus, white peach, saline minerality, and crisp acidity. Focused and energetic, it is ideal with shellfish, seafood, goat cheese, and lighter poultry dishes."
"Cinco Islas Albariño",white,Albariño,Old World,Spain,Rías Baixas,,140,2024,,54,,,N,,Y,"A vibrant Albariño with citrus, stone fruit, floral notes, and a fresh sea-spray minerality. Zesty acidity and a clean finish make it a natural choice for seafood, tapas, salads, and grilled vegetables."
"Romanelli Le Tese Trebbiano Spoletino",white,Trebbiano,Old World,Italy,Umbria,Spoleto,141,2019,,70,,,N,,Y,"A characterful Umbrian white made from Trebbiano Spoletino, showing citrus, orchard fruit, herbal notes, and a touch of texture. Medium-bodied with lively acidity, it works well with antipasti, seafood, vegetables, and roast poultry."
"Lagar de Cervera Albariño",white,Albariño,Old World,Spain,Rías Baixas,,143,2021,,60,,,N,,Y,"A bright Rías Baixas Albariño with lime, green apple, stone fruit, and subtle floral character. Its mineral freshness and lively acidity pair well with grilled fish, shellfish, ceviche, and lighter dishes."
"Domaine des Sables Verts Saumur Blanc Chenin Blanc",white,Chenin Blanc,Old World,France,Loire Valley,Saumur,146,2021,,54,,,N,,Y,"A fresh Chenin Blanc from Saumur with pear, quince, citrus, and subtle honeyed notes. Vibrant acidity and mineral undertones make it versatile with chicken, pork, creamy cheeses, and lighter sauces."
"Pieropan Calvarino Garganega",white,Garganega,Old World,Italy,Veneto,Soave Classico,151,2023,,71,,,N,,Y,"A benchmark Soave Classico with citrus, almond, white flowers, and a clean mineral finish. Crisp acidity and medium body make it excellent with seafood, risotto, vegetable dishes, and lighter poultry."
"Marenco Scrapona Moscato d'Asti",white,Moscato,Old World,Italy,Piedmont,Asti,154,2021,,51,,,N,,Y,"A lightly sparkling Moscato d'Asti with fragrant peach, apricot, orange blossom, and gentle sweetness. Low alcohol, refreshing bubbles, and bright fruit make it perfect with fruit desserts, pastry, or as a soft finish to the meal."
"Meyer-Fonné Pfoeller Riesling",white,Riesling,Old World,France,Alsace,,156,2017,,115,,,N,,Y,"An Alsace Riesling with ripe citrus, stone fruit, floral notes, and a firm mineral backbone. Fresh acidity and mature complexity make it a strong pairing for seafood, pork, richer poultry dishes, and lightly spiced cuisine."
"Rolly Gassmann Pflaenzerreben de Rorschwihr Riesling",white,Riesling,Old World,France,Alsace,Rorschwihr,158,2008,,140,,,N,,Y,"A mature Alsace Riesling from Rorschwihr, showing honeyed citrus, dried stone fruit, petrol, and mineral notes. Its depth, acidity, and long finish pair beautifully with rich poultry, foie gras, aged cheeses, and aromatic dishes."
"Merry Edwards Sauvignon Blanc",white,Sauvignon Blanc,New World,USA,California,Russian River Valley,203,2022,,115,,,N,,Y,"A crisp, aromatic Sauvignon Blanc from Russian River Valley with citrus, tropical fruit, and subtle floral notes. Lively acidity and a polished texture make it a strong pairing for seafood, salads, goat cheese, and lighter poultry dishes."
"Upchurch Southwest Facing Sauvignon Blanc",white,Sauvignon Blanc,New World,USA,Washington,Yakima Valley,205,2018,,110,,,N,,Y,"A focused Washington Sauvignon Blanc from southwest-facing vineyard sites, showing citrus, stone fruit, herbs, and a clean mineral edge. Crisp acidity and structured texture make it refreshing and versatile with seafood, vegetables, and lighter fare."
"Gramercy Cellars Picpoul",white,Picpoul,New World,USA,Washington,Walla Walla Valley,206,2023,,47,,,N,,Y,"A bright, mouthwatering Picpoul from Walla Walla with lemon, lime, green apple, and saline freshness. Its crisp, palate-cleansing finish works especially well with shellfish, oysters, salads, and light appetizers."
"Tablas Creek Patelin de Tablas Blanc",white,Rhône Blend,New World,USA,California,Paso Robles,213,2022,,54,,,N,,Y,"A white Rhône-style blend from Paso Robles with peach, citrus, pear, and floral notes. Balanced acidity and a softly textured palate make it a versatile match for seafood, roast chicken, vegetables, and Mediterranean dishes."
"Dusted Valley Olsen Vineyard Chardonnay",white,Chardonnay,New World,USA,Washington,Yakima Valley,220,2021,,63,,,N,,Y,"A Washington Chardonnay from Olsen Vineyard with fresh apple, pear, citrus, and a gentle touch of oak. Clean acidity and balanced texture make it easy to pair with poultry, seafood, creamy sauces, and roasted vegetables."
"Evening Land La Source Chardonnay",white,Chardonnay,New World,USA,Oregon,Eola-Amity Hills,225,2016,,175,,,N,,Y,"A mature Oregon Chardonnay from Eola-Amity Hills with citrus, orchard fruit, mineral notes, and a creamy, layered texture. Elegant and focused, it pairs beautifully with richer seafood, roast poultry, mushrooms, and cream-based dishes."
"La Jota W.S. Keyes Vineyard Chardonnay",white,Chardonnay,New World,USA,California,Howell Mountain,228,2019,,225,,,N,,Y,"A mountain-grown Chardonnay from Howell Mountain with ripe stone fruit, citrus, subtle oak, and firm acidity. Structured and full of depth, it works well with lobster, roast chicken, creamy pasta, and richer seafood."
"Grgich Hills Chardonnay",white,Chardonnay,New World,USA,California,Napa Valley,232,2018,,95,,,N,,Y,"A Napa Valley Chardonnay balancing tropical fruit, citrus, orchard fruit, and restrained oak. Medium to full-bodied with a crisp finish, it pairs well with poultry, seafood, cream sauces, and roasted vegetables."
"Failla Sonoma Coast Chardonnay",white,Chardonnay,New World,USA,California,Sonoma Coast,233,2020,,76,,,N,,Y,"A cool-climate Sonoma Coast Chardonnay with vibrant citrus, stone fruit, mineral tension, and bright acidity. Fresh and balanced, it is a versatile partner for seafood, salads, roast chicken, and lighter fare."
"Pahlmeyer Jayson Chardonnay",white,Chardonnay,New World,USA,California,Napa Valley,235,2019,,135,,,N,,Y,"A polished Napa Chardonnay with ripe pear, apple, citrus, creamy texture, and hints of spice. Balanced acidity keeps it smooth and food-friendly with poultry, lobster, creamy dishes, and richer seafood."
"LTL Grenache Rosé",rose,Grenache,New World,USA,Washington,Yakima Valley,238,2019,,50,,,N,,Y,"A dry Grenache rosé from Yakima Valley with delicate strawberry, watermelon, citrus, and a crisp finish. Refreshing and easy to pair, it works well with appetizers, salads, seafood, grilled vegetables, and warm-weather dishes."
"Domaine Mondange Laudria Rosé Sciaccarellu",rose,Sciaccarellu,Old World,France,Corsica,,242,2022,,63,,,N,,Y,"A Corsican rosé made from Sciaccarellu, showing red berries, floral notes, citrus, and subtle Mediterranean herbs. Lively acidity and a dry finish make it a natural match for seafood, grilled vegetables, charcuterie, and Mediterranean cuisine."
"La Spinetta Il Rosé di Casanova",rose,Sangiovese Blend,Old World,Italy,Tuscany,Toscana IGT,243,2021,,70,,,N,,Y,"A Tuscan rosé with fresh cherry, raspberry, citrus, and light herbal notes. Bright, dry, and refreshing, it pairs well with antipasti, seafood, tomato-based dishes, salads, and lighter grilled meats."
"Fattoria di Bacchereto Terre a Mano Sassocarlo Bianco",white,White Blend,Old World,Italy,Tuscany,Toscana IGT,244,2019,,130,,,N,,Y,"A complex Tuscan white with extended skin contact, showing dried fruit, citrus peel, spice, and savory texture. Its gentle grip and depth make it a good match for richer vegetables, aged cheeses, roasted poultry, and rustic Italian dishes."
"Enzo Boglietti Barbera d'Alba",red,Barbera,Old World,Italy,Piedmont,Alba,250,2021,,48,,,N,,Y,"A lively Barbera d'Alba with juicy cherry, plum, violet, and subtle spice. Bright acidity and modest tannins make it excellent with tomato-based pasta, pizza, cured meats, and casual Italian dishes."
"Masi Serego Alighieri Vaio Armaron",red,Corvina Blend,Old World,Italy,Veneto,Valpolicella,254,2012,,180,,,N,,Y,"A powerful single-vineyard Amarone-style wine from the Serego Alighieri estate, showing dried cherry, plum, cocoa, spice, and savory depth. Full-bodied with a velvety finish, it pairs well with braised meats, game, aged cheeses, and rich stews."
"Masi Campolongo di Torbe Amarone della Valpolicella Classico",red,Corvina Blend,Old World,Italy,Veneto,Valpolicella,255,2011,,225,,,N,,Y,"A lush, full-bodied Amarone from the prized Campolongo di Torbe vineyard, with concentrated dried fruit, fig, spice, cocoa, and firm structure. Long and warming, it is ideal with braised beef, game, rich mushroom dishes, and aged cheeses."
"Coster dels Olivers",red,"Garnacha, Cabernet Sauvignon",Old World,Spain,Priorat,,258,2019,,56,,,N,,Y,"A rich Priorat blend of Garnacha and Cabernet Sauvignon with dark berry fruit, spice, and a firm mineral structure. Medium to full-bodied with ripe tannins and balanced freshness, it pairs well with grilled meats, lamb, and hearty stews."
"Capitain-Gagnerot Savigny-lès-Beaune 1er Cru Les Charnières",red,Pinot Noir,Old World,France,Burgundy,Savigny-lès-Beaune,262,2020,,125,,,N,,Y,"From a premier cru vineyard in Savigny-lès-Beaune, this Pinot Noir offers red cherry, raspberry, subtle earth, and gentle spice. Silky texture and bright acidity make it a versatile pairing for poultry, pork, salmon, or mushroom dishes."
"Domaine du Prieuré Savigny-lès-Beaune 1er Cru Les Lavières",red,Pinot Noir,Old World,France,Burgundy,Savigny-lès-Beaune,265,2020,,98,,,N,,Y,"A classic Savigny-lès-Beaune premier cru showing bright red fruit, floral notes, and earthy mineral character. Medium-bodied with smooth tannins and fresh acidity, it works beautifully with roast chicken, charcuterie, pork, and mushrooms."
"Domaine du Prieuré Savigny-lès-Beaune 1er Cru Les Hauts Jarrons",red,Pinot Noir,Old World,France,Burgundy,Savigny-lès-Beaune,267,2019,,105,,,N,,Y,"An elegant premier cru Pinot Noir with red currant, cherry, violet, and a savory forest-floor note. Refined tannins and a balanced finish make it a strong match for roasted poultry, salmon, pork, or earthy vegetable dishes."
"Domaine de Courcel Pommard Le Grand Clos Epenots 1er Cru",red,Pinot Noir,Old World,France,Burgundy,Pommard,271,2019,,215,,,N,,Y,"A structured Pommard premier cru with concentrated cherry, plum, earth, and spice. Firm tannins and impressive depth give it the power for richer dishes such as game, beef, duck, or braised meats."
"Enzo Boglietti Arione Barolo Nebbiolo",red,Nebbiolo,Old World,Italy,Piedmont,Barolo,286,2017,,180,,,N,,Y,"A powerful Barolo showing classic Nebbiolo aromas of rose, red cherry, tar, spice, and dried herbs. Firm tannins and lively acidity give it excellent structure for braised beef, truffle dishes, rich pasta, and aged cheeses."
"Renato Ratti Marcenasco Barolo Nebbiolo",red,Nebbiolo,Old World,Italy,Piedmont,Barolo,289,2020,,145,,,N,,Y,"A polished Barolo with ripe cherry, raspberry, licorice, spice, and floral Nebbiolo character. Medium to full-bodied with firm but refined tannins, it pairs well with mushroom pasta, braised meats, and aged cheeses."
"Marqués de Riscal Reserva Tempranillo",red,Tempranillo,Old World,Spain,Rioja,,309,2020,,63,,,N,,Y,"A classic Rioja Reserva with cherry, plum, vanilla, spice, and subtle savory notes from oak aging. Smooth tannins and balanced acidity make it versatile with grilled lamb, tapas, roasted pork, and cheeses."
"Izarbe Gran Reserva Tempranillo",red,Tempranillo,Old World,Spain,Rioja,,312,2008,,105,,,N,,Y,"A mature Rioja Gran Reserva with dried cherry, tobacco, leather, spice, and soft oak complexity. Smooth, layered, and savory, it is ideal with roasted meats, lamb, mushrooms, and firm cheeses."
"Dominio de Pingus Flor de Pingus Tempranillo",red,Tempranillo,Old World,Spain,Ribera del Duero,,315,2020,,240,,,N,,Y,"An intense Ribera del Duero Tempranillo with blackberry, plum, cocoa, spice, and firm tannic structure. Rich and long on the palate, it pairs best with roasted lamb, beef, game, and other full-flavored dishes."
"Caparzo La Caduta Rosso di Montalcino",red,Sangiovese,Old World,Italy,Tuscany,Montalcino,320,2017,,75,,,N,,Y,"A bright Rosso di Montalcino with red cherry, savory herbs, earthy spice, and fresh acidity. Medium-bodied and approachable, it pairs nicely with pasta, pizza, grilled poultry, pork, and tomato-based dishes."
"Castello La Leccia Chianti Classico",red,Sangiovese,Old World,Italy,Tuscany,Chianti Classico,323,2021,,52,,,N,,Y,"A lively Chianti Classico with strawberry, cherry, dried herbs, and a touch of earthy spice. Fresh acidity and gentle tannins make it an easy match for tomato-based pasta, grilled sausages, pizza, and roasted vegetables."
"Castello La Leccia Bruciagna Gran Selezione",red,Sangiovese,Old World,Italy,Tuscany,Chianti Classico,324,2018,,147,,,N,,Y,"A more concentrated Chianti Classico Gran Selezione with dark cherry, plum, spice, and savory Tuscan character. Refined tannins and full body make it well suited to braised meats, steak, wild boar, and aged Pecorino."
"Avignonesi Grifi",red,"Sangiovese, Cabernet Sauvignon",Old World,Italy,Tuscany,Toscana,328,2020,,86,,,N,,Y,"A structured Tuscan blend of Sangiovese and Cabernet Sauvignon with ripe blackberry, cherry, spice, and subtle herbal notes. Firm tannins and generous fruit make it a strong pairing for grilled meats, hearty pasta, and aged cheeses."
"Baricci Brunello di Montalcino",red,Sangiovese,Old World,Italy,Tuscany,Montalcino,331,2018,,200,,,N,,Y,"A traditional Brunello from the Montosoli area, showing cherry, tea, dried herbs, earth, and savory depth. Full-bodied and structured with firm tannins, it is built for rich dishes such as game, braised beef, and aged cheese."
"Gaja Pieve Santa Restituta Brunello di Montalcino",red,Sangiovese,Old World,Italy,Tuscany,Montalcino,335,2018,,240,,,N,,Y,"A refined Brunello from Gaja's Montalcino estate with dark cherry, black tea, herbs, spice, and polished structure. Full-bodied with a long savory finish, it pairs beautifully with roast meats, lamb, wild mushrooms, and aged Pecorino."
"Fontodi Flaccianello della Pieve",red,Sangiovese,Old World,Italy,Colli della Toscana Centrale,,337,2011,,345,,,N,,Y,"A benchmark Super Tuscan made entirely from Sangiovese, offering blackberry, cherry, violet, Mediterranean herbs, and savory spice. Rich, complex, and long, it is ideal for roasted meats, steak, braised dishes, or slow sipping."
"Fontodi Flaccianello della Pieve",red,Sangiovese,Old World,Italy,Colli della Toscana Centrale,,338,2018,,335,,,N,,Y,"A flagship Tuscan Sangiovese with dark cherry, plum, savory earth, herbs, and spice. Full-bodied with vibrant acidity and firm tannins, it pairs beautifully with grilled meats, hearty pasta, braised dishes, and aged cheeses."
"E. Guigal Côtes du Rhône",red,Rhône Blend,Old World,France,Rhône Valley,Côtes du Rhône,341,2022,,45,,,N,,Y,"A classic Southern Rhône blend with ripe red and black berry fruit, peppery spice, and hints of dried herbs. Medium-bodied and supple, it is versatile with roasted meats, Mediterranean dishes, sausages, and grilled vegetables."
"Domaine du Terme Gigondas",red,Rhône Blend,Old World,France,Rhône Valley,Gigondas,350,2022,,75,,,N,,Y,"A robust Southern Rhône blend from Gigondas with dark berry fruit, dried herbs, warm spice, and earthy depth. Structured yet balanced, it is a great companion for lamb, braised meats, grilled sausages, and rustic stews."
"Gaja Ca' Marcanda Promis",red,Red Blend,Old World,Italy,Tuscany,Toscana,357,2023,,125,,,N,,Y,"A polished Tuscan blend with ripe berry fruit, plum, gentle spice, and soft tannins. Medium-bodied and supple, it complements roasted poultry, pork, grilled vegetables, pasta with meat sauce, and aged cheeses."
"Château Marchand Montagne",red,Bordeaux Blend,Old World,France,Bordeaux,Montagne-Saint-Émilion,362,2019,,62,,,N,,Y,"A Merlot-led Right Bank Bordeaux with plum, cassis, earth, and subtle oak notes. Medium-bodied with silky tannins and fresh acidity, it pairs well with roast chicken, pork, mushrooms, and casual beef dishes."
"Château Pontet-Bellegrave Graves de Vayres",red,Bordeaux Blend,Old World,France,Bordeaux,Graves de Vayres,367,2018,,85,,,N,,Y,"A Bordeaux blend from Graves de Vayres with red currant, plum, tobacco, earth, and moderate structure. Balanced and savory, it works well with grilled steak, charcuterie, lamb, and rustic stews."
"Château de Pez Saint-Estèphe",red,Bordeaux Blend,Old World,France,Bordeaux,Saint-Estèphe,369,2018,,,,,N,,Y,"A structured Saint-Estèphe with dark fruit, cedar, graphite, spice, and firm tannins. Savory and age-worthy in style, it shines with roast beef, lamb, braised meats, and hearty stews."
"Château Soussans Margaux",red,Bordeaux Blend,Old World,France,Bordeaux,Margaux,370,2019,,90,,,N,,Y,"An elegant Margaux with floral aromas, red berry fruit, subtle cassis, and supple tannins. Medium-bodied and refined, it pairs beautifully with lamb, duck, roast poultry, and mushroom dishes."
"G d'Estournel",red,Bordeaux Blend,Old World,France,Bordeaux,Médoc,371,2019,,115,,,N,,Y,"A classic Médoc blend with blackberry, cassis, spice, and savory earth. Medium to full-bodied with sturdy tannins, it is excellent with rich beef dishes, lamb, roasted mushrooms, or aged cheeses."
"Château Lascombes Margaux Grand Cru",red,Bordeaux Blend,Old World,France,Bordeaux,Margaux,375,2010,,325,,,N,,Y,"A mature Grand Cru Classé Margaux from a strong vintage, offering dark fruit, violet, cedar, tobacco, and polished structure. Full-bodied with silky tannins, it pairs superbly with fine cuts of beef, lamb, duck, or game."
"Château Léoville Poyferré",red,Bordeaux Blend,Old World,France,Bordeaux,Saint-Julien,378,2010,,600,,,N,,Y,"A prestigious Saint-Julien with layers of cassis, blackberry, cedar, graphite, and spice. Powerful yet elegant, with structured tannins and a long finish, it is a natural partner for steaks, lamb, prime rib, or aged cheeses."
"Roco The Stalker Pinot Noir",red,Pinot Noir,New World,USA,Oregon,Willamette Valley,395,2022,,65,,,N,,Y,"An Oregon Pinot Noir with bright red fruit, spice, and floral undertones. Medium-bodied with lively acidity and silky texture, it pairs well with salmon, roasted poultry, pork, mushrooms, and lighter fare."
"Ken Wright Pinot Noir",red,Pinot Noir,New World,USA,Oregon,Willamette Valley,398,2024,,57,,,N,,Y,"A vibrant Willamette Valley Pinot Noir with cherry, raspberry, subtle spice, and a fresh, expressive finish. Silky tannins and bright acidity make it a natural match for pork tenderloin, salmon, roast chicken, and mushroom dishes."
"Brick House Select Pinot Noir",red,Pinot Noir,New World,USA,Oregon,Ribbon Ridge,399,2023,,74,,,N,,Y,"A Ribbon Ridge Pinot Noir offering red berry fruit, earth, spice, and a lifted aromatic profile. Fine tannins and balanced acidity make it excellent with poultry, salmon, pork, and mushroom risotto."
"Holocene Apocrypha Pinot Noir",red,Pinot Noir,New World,USA,Oregon,Willamette Valley,410,2021,,135,,,N,,Y,"A polished Willamette Valley Pinot Noir with dark cherry, blackberry, baking spice, and savory depth. Medium-bodied and refined, it pairs nicely with roasted meats, duck, mushrooms, and savory vegetarian dishes."
"Flâneur La Belle Promenade Pinot Meunier",red,Pinot Meunier,New World,USA,Oregon,Chehalem Mountains,411,2021,,90,,,N,,Y,"A rare still Pinot Meunier from Oregon's Chehalem Mountains, offering bright red berry fruit, floral aromas, and a silky texture. Medium-bodied with balanced acidity, it pairs beautifully with roasted poultry, charcuterie, salmon, and mushroom dishes."
"Morgan Twelve Clones Pinot Noir",red,Pinot Noir,New World,USA,California,Santa Lucia Highlands,423,2019,,65,,,N,,Y,"A polished Santa Lucia Highlands Pinot Noir with lush cherry, raspberry, earthy spice, and supple tannins. Smooth and versatile, it works well with salmon, duck, pork, roasted chicken, or mushroom-based dishes."
"Sandhi Santa Rita Hills Pinot Noir",red,Pinot Noir,New World,USA,California,Santa Rita Hills,424,2021,,75,,,N,,Y,"A cool-climate Pinot Noir from Santa Rita Hills with vibrant red fruit, spice, minerality, and bright acidity. Its focused style and long finish make it a strong pairing for grilled salmon, poultry, pork, or earthy vegetarian dishes."
"Flowers Sonoma Coast Pinot Noir",red,Pinot Noir,New World,USA,California,Sonoma Coast,430,2023,,160,,,N,,Y,"A coastal Sonoma Pinot Noir balancing cranberry, strawberry, floral notes, and subtle earth. Medium-bodied with lively acidity and polished texture, it pairs well with pork, duck, salmon, and richer seafood dishes."
"Sea Smoke Southing Pinot Noir",red,Pinot Noir,New World,USA,California,Santa Rita Hills,435,2021,,225,,,N,,Y,"A plush Santa Rita Hills Pinot Noir with dark cherry, blackberry, baking spice, and silky tannins. Full and expressive with a long finish, it pairs beautifully with game bird, lamb, duck, or mushroom dishes."
"Dunham Cellars Syrah",red,Syrah,New World,USA,Washington,Columbia Valley,446,2020,,83,,,N,,Y,"A Columbia Valley Syrah showing ripe blackberry, plum, pepper spice, and savory smoked-meat notes. Full-bodied with firm yet smooth structure, it is ideal with grilled meats, barbecue, lamb, or hearty stews."
"The Walls Stanley Groovy Red Blend",red,Red Blend,New World,USA,Washington,Red Mountain,456,2020,,85,,,N,,Y,"A Red Mountain blend with rich dark fruit, savory herbs, spice, and robust tannins. Balanced acidity keeps it lively, making it a great match for barbecue, roasted lamb, grilled beef, or aged cheeses."
"Stags' Leap Petite Syrah",red,Petite Syrah,New World,USA,California,Napa Valley,457,2020,,120,,,N,,Y,"A bold Napa Valley Petite Syrah with intense blackberry, blueberry, mocha, and spice. Full-bodied with firm tannins and deep color, it pairs well with braised short ribs, barbecue, grilled steak, and strong cheeses."
"Leonetti Cellar Merlot",red,Merlot,New World,USA,Washington,Walla Walla Valley,463,2020,,183,,,N,,Y,"A structured Walla Walla Valley Merlot layered with ripe plum, black cherry, cedar, and polished tannins. Medium to full-bodied with a velvety finish, it pairs well with roasted meats, mushroom risotto, lamb, or rich cheeses."
"Freemark Abbey Merlot",red,Merlot,New World,USA,California,Napa Valley,467,2019,,95,,,N,,Y,"A balanced Napa Valley Merlot with red currant, plum, vanilla, spice, and a supple texture. Approachable and polished, it works well with poultry, pork, tomato-based pasta, roasted vegetables, and softer cheeses."
"PlumpJack Merlot",red,Merlot,New World,USA,California,Napa Valley,472,2018,,145,,,N,,Y,"A rich Napa Valley Merlot with black cherry, blackberry, cocoa, and warm spice. Medium to full-bodied with smooth tannins, it is a strong match for steak, lamb, savory mushroom dishes, and roasted meats."
"Upchurch Cabernet Sauvignon",red,Cabernet Sauvignon,New World,USA,Washington,Red Mountain,480,2022,,155,,,N,,Y,"A concentrated Red Mountain Cabernet with blackcurrant, dark cherry, tobacco, and firm tannic structure. Bold but balanced, it pairs well with grilled steaks, braised beef, lamb, and other hearty dishes."
"Stags Leap Cabernet Sauvignon",red,Cabernet Sauvignon,New World,USA,California,Napa Valley,484,2022,,135,,,N,,Y,"A classic Napa Cabernet with ripe dark fruit, cassis, vanilla, cedar, and supple tannins. Polished and generous, it complements steak, lamb, roast beef, and rich roasted dishes."
"Pine Ridge Napa Valley Cabernet Sauvignon",red,Cabernet Sauvignon,New World,USA,California,Napa Valley,490,2021,,95,,,N,,Y,"A balanced Napa Cabernet with blackberry, plum, subtle oak spice, and a smooth finish. Medium to full-bodied and approachable, it pairs well with grilled meats, burgers, short ribs, and hearty vegetable dishes."
"Caymus Vineyards Cabernet Sauvignon",red,Cabernet Sauvignon,New World,USA,California,Napa Valley,493,2022,,165,,,N,,Y,"A lush Napa Cabernet known for ripe blackberry, cassis, cocoa, and velvety tannins. Rich and plush through the finish, it is a natural match for steak, prime rib, braised beef, or hearty stews."
"PlumpJack Estate Cabernet Sauvignon",red,Cabernet Sauvignon,New World,USA,California,Oakville,495,2018,,285,,,N,,Y,"An Oakville estate Cabernet with intense blackcurrant, blackberry, violet, espresso, and structured tannins. Full-bodied and age-worthy, it pairs well with filet mignon, lamb, prime rib, and aged cheeses."
"Heitz Cellar Cabernet Sauvignon",red,Cabernet Sauvignon,New World,USA,California,Napa Valley,497,2019,,150,,,N,,Y,"A classic Napa Cabernet with cherry, cassis, mint, herbal notes, and refined tannins. Bright acidity and restrained structure make it excellent with steak, roast beef, lamb, or grilled vegetables."
"Dry Creek The Mariner",red,Red Blend,New World,USA,California,Dry Creek Valley,513,2019,,90,,,N,,Y,"A Bordeaux-style blend from Dry Creek Valley with dark fruit, spice, earthy notes, and firm tannins. Balanced and savory, it pairs well with steak, lamb, short ribs, and rich stews."
"Chappellet Mountain Cuvée",red,Red Blend,New World,USA,California,,514,2023,,122,,,N,,Y,"A Bordeaux-inspired California blend with blackberry, plum, cedar, spice, and smooth structure. Approachable but full-flavored, it is a great choice for burgers, barbecue, herb-roasted meats, or grilled vegetables."
